# Source: https://www.ons.gov.uk/
# https://www.ons.gov.uk/economy/inflationandpriceindices/bulletins/consumerpriceinflation/july2023
# Copyright: Open Government Licence 3.0 https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/ . 
#"Figure 8: UK inflation remains above that of France and Germany",""
#"CPI compared with selected G7 and EU annual inflation rates, July 2013 to July 2023"
#"",""
#"Notes","1. July 2023 estimates for France and Germany are flash estimates and subject to revision; the final Harmonised Index of Consumer Prices (HICP) including EU27 data for July 2023 will be published on Friday 18 August 2023.

#2. There are some differences in the definition of the US HICP that may limit comparison; more information is available in [Comparing US and European inflation: the CPI and the HICP from the US Bureau of Labor Statistics (PDF, 74.2 KB)](https://www.bls.gov/opub/mlr/2006/05/art3full.pdf)."
#"Unit","%"
#"",""
#"","CPI (UK)"
"Jul 2013","2.8"
"Aug 2013","2.7"
"Sep 2013","2.7"
"Oct 2013","2.2"
"Nov 2013","2.1"
"Dec 2013","2.0"
"Jan 2014","1.9"
"Feb 2014","1.7"
"Mar 2014","1.6"
"Apr 2014","1.8"
"May 2014","1.5"
"Jun 2014","1.9"
"Jul 2014","1.6"
"Aug 2014","1.5"
"Sep 2014","1.2"
"Oct 2014","1.3"
"Nov 2014","1.0"
"Dec 2014","0.5"
"Jan 2015","0.3"
"Feb 2015","0.0"
"Mar 2015","0.0"
"Apr 2015","-0.1"
"May 2015","0.1"
"Jun 2015","0.0"
"Jul 2015","0.1"
"Aug 2015","0.0"
"Sep 2015","-0.1"
"Oct 2015","-0.1"
"Nov 2015","0.1"
"Dec 2015","0.2"
"Jan 2016","0.3"
"Feb 2016","0.3"
"Mar 2016","0.5"
"Apr 2016","0.3"
"May 2016","0.3"
"Jun 2016","0.5"
"Jul 2016","0.6"
"Aug 2016","0.6"
"Sep 2016","1.0"
"Oct 2016","0.9"
"Nov 2016","1.2"
"Dec 2016","1.6"
"Jan 2017","1.8"
"Feb 2017","2.3"
"Mar 2017","2.3"
"Apr 2017","2.7"
"May 2017","2.9"
"Jun 2017","2.6"
"Jul 2017","2.6"
"Aug 2017","2.9"
"Sep 2017","3.0"
"Oct 2017","3.0"
"Nov 2017","3.1"
"Dec 2017","3.0"
"Jan 2018","3.0"
"Feb 2018","2.7"
"Mar 2018","2.5"
"Apr 2018","2.4"
"May 2018","2.4"
"Jun 2018","2.4"
"Jul 2018","2.5"
"Aug 2018","2.7"
"Sep 2018","2.4"
"Oct 2018","2.4"
"Nov 2018","2.3"
"Dec 2018","2.1"
"Jan 2019","1.8"
"Feb 2019","1.9"
"Mar 2019","1.9"
"Apr 2019","2.1"
"May 2019","2.0"
"Jun 2019","2.0"
"Jul 2019","2.1"
"Aug 2019","1.7"
"Sep 2019","1.7"
"Oct 2019","1.5"
"Nov 2019","1.5"
"Dec 2019","1.3"
"Jan 2020","1.8"
"Feb 2020","1.7"
"Mar 2020","1.5"
"Apr 2020","0.8"
"May 2020","0.5"
"Jun 2020","0.6"
"Jul 2020","1.0"
"Aug 2020","0.2"
"Sep 2020","0.5"
"Oct 2020","0.7"
"Nov 2020","0.3"
"Dec 2020","0.6"
"Jan 2021","0.7"
"Feb 2021","0.4"
"Mar 2021","0.7"
"Apr 2021","1.5"
"May 2021","2.1"
"Jun 2021","2.5"
"Jul 2021","2.0"
"Aug 2021","3.2"
"Sep 2021","3.1"
"Oct 2021","4.2"
"Nov 2021","5.1"
"Dec 2021","5.4"
"Jan 2022","5.5"
"Feb 2022","6.2"
"Mar 2022","7.0"
"Apr 2022","9.0"
"May 2022","9.1"
"Jun 2022","9.4"
"Jul 2022","10.1"
"Aug 2022","9.9"
"Sep 2022","10.1"
"Oct 2022","11.1"
"Nov 2022","10.7"
"Dec 2022","10.5"
"Jan 2023","10.1"
"Feb 2023","10.4"
"Mar 2023","10.1"
"Apr 2023","8.7"
"May 2023","8.7"
"Jun 2023","7.9"
"Jul 2023","6.8"
