# source: https://sdw.ecb.europa.eu
#"date","s1"
"1994-01-31",7.12
"1994-02-28",6.99
"1994-03-31",6.84
"1994-04-30",6.69
"1994-05-31",6.32
"1994-06-30",6.28
"1994-07-31",6.26
"1994-08-31",6.27
"1994-09-30",6.17
"1994-10-31",6.14
"1994-11-30",6.17
"1994-12-31",6.49
"1995-01-31",6.37
"1995-02-28",6.36
"1995-03-31",7.42
"1995-04-30",7.14
"1995-05-31",7.01
"1995-06-30",7.05
"1995-07-31",6.86
"1995-08-31",6.63
"1995-09-30",6.48
"1995-10-31",6.69
"1995-11-30",6.42
"1995-12-31",6.38
"1996-01-31",5.87
"1996-02-29",5.63
"1996-03-31",5.5
"1996-04-30",5.32
"1996-05-31",5.15
"1996-06-30",5.11
"1996-07-31",5.09
"1996-08-31",5.07
"1996-09-30",4.84
"1996-10-31",4.71
"1996-11-30",4.59
"1996-12-31",4.6
"1997-01-31",4.47
"1997-02-28",4.48
"1997-03-31",4.51
"1997-04-30",4.38
"1997-05-31",4.3
"1997-06-30",4.29
"1997-07-31",4.29
"1997-08-31",4.32
"1997-09-30",4.27
"1997-10-31",4.39
"1997-11-30",4.4
"1997-12-31",4.35
"1998-01-31",4.25
"1998-02-28",4.24
"1998-03-31",4.14
"1998-04-30",4.12
"1998-05-31",4.07
"1998-06-30",4.02
"1998-07-31",3.94
"1998-08-31",3.94
"1998-09-30",3.96
"1998-10-31",3.86
"1998-11-30",3.67
"1998-12-31",3.44
"1999-01-31",3.1583
"1999-02-28",3.1264
"1999-03-31",3.0548
"1999-04-30",2.6947
"1999-05-31",2.5661
"1999-06-30",2.6054
"1999-07-31",2.6345
"1999-08-31",2.6135
"1999-09-30",2.5835
"1999-10-31",2.7629
"1999-11-30",3.0607
"1999-12-31",3.5094
"2000-01-31",3.1502
"2000-02-29",3.3591
"2000-03-31",3.5892
"2000-04-30",3.7909
"2000-05-31",4.1632
"2000-06-30",4.3702
"2000-07-31",4.4077
"2000-08-31",4.5743
"2000-09-30",4.6977
"2000-10-31",4.854
"2000-11-30",4.9249
"2000-12-31",4.9483
"2001-01-31",4.8049
"2001-02-28",4.7996
"2001-03-31",4.7761
"2001-04-30",4.7799
"2001-05-31",4.6634
"2001-06-30",4.53
"2001-07-31",4.5247
"2001-08-31",4.4646
"2001-09-30",4.0508
"2001-10-31",3.7189
"2001-11-30",3.4267
"2001-12-31",3.4182
"2002-01-31",3.3481
"2002-02-28",3.3363
"2002-03-31",3.3456
"2002-04-30",3.3357
"2002-05-31",3.374
"2002-06-30",3.3835
"2002-07-31",3.3612
"2002-08-31",3.3328
"2002-09-30",3.3174
"2002-10-31",3.306
"2002-11-30",3.2312
"2002-12-31",2.9798
"2003-01-31",2.8548
"2003-02-28",2.7748
"2003-03-31",2.601
"2003-04-30",2.5762
"2003-05-31",2.5204
"2003-06-30",2.177
"2003-07-31",2.1306
"2003-08-31",2.1223
"2003-09-30",2.126
"2003-10-31",2.1001
"2003-11-30",2.0867
"2003-12-31",2.1315
"2004-01-31",2.0759
"2004-02-29",2.0606
"2004-03-31",2.0428
"2004-04-30",2.0523
"2004-05-31",2.061
"2004-06-30",2.0762
"2004-07-31",2.0755
"2004-08-31",2.077
"2004-09-30",2.0778
"2004-10-31",2.0862
"2004-11-30",2.1101
"2004-12-31",2.167
"2005-01-31",2.111
"2005-02-28",2.1039
"2005-03-31",2.103
"2005-04-30",2.1047
"2005-05-31",2.1041
"2005-06-30",2.1039
"2005-07-31",2.1064
"2005-08-31",2.1126
"2005-09-30",2.1152
"2005-10-31",2.1209
"2005-11-30",2.2226
"2005-12-31",2.4112
"2006-01-31",2.3885
"2006-02-28",2.4587
"2006-03-31",2.6333
"2006-04-30",2.6489
"2006-05-31",2.6926
"2006-06-30",2.8691
"2006-07-31",2.9389
"2006-08-31",3.0941
"2006-09-30",3.1572
"2006-10-31",3.3501
"2006-11-30",3.4214
"2006-12-31",3.64
"2007-01-31",3.6159
"2007-02-28",3.6511
"2007-03-31",3.8439
"2007-04-30",3.859
"2007-05-31",3.9194
"2007-06-30",4.0982
"2007-07-31",4.105
"2007-08-31",4.3081
"2007-09-30",4.4339
"2007-10-31",4.2355
"2007-11-30",4.216
"2007-12-31",4.7114
"2008-01-31",4.1973
"2008-02-29",4.1821
"2008-03-31",4.3046
"2008-04-30",4.3691
"2008-05-31",4.3874
"2008-06-30",4.4724
"2008-07-31",4.4716
"2008-08-31",4.4875
"2008-09-30",4.6599
"2008-10-31",4.8313
"2008-11-30",3.8432
"2008-12-31",2.9929
"2009-01-31",2.1418
"2009-02-28",1.6282
"2009-03-31",1.2691
"2009-04-30",1.012
"2009-05-31",0.8844
"2009-06-30",0.9134
"2009-07-31",0.6097
"2009-08-31",0.508
"2009-09-30",0.4551
"2009-10-31",0.4297
"2009-11-30",0.4352
"2009-12-31",0.4779
"2010-01-31",0.437
"2010-02-28",0.4214
"2010-03-31",0.4062
"2010-04-30",0.4047
"2010-05-31",0.423
"2010-06-30",0.4464
"2010-07-31",0.5833
"2010-08-31",0.64
"2010-09-30",0.6181
"2010-10-31",0.7842
"2010-11-30",0.8339
"2010-12-31",0.8106
"2011-01-31",0.7928
"2011-02-28",0.8937
"2011-03-31",0.9031
"2011-04-30",1.1271
"2011-05-31",1.2434
"2011-06-30",1.279
"2011-07-31",1.4218
"2011-08-31",1.3734
"2011-09-30",1.3472
"2011-10-31",1.3635
"2011-11-30",1.2266
"2011-12-31",1.1429
"2012-01-31",0.8362
"2012-02-29",0.626
"2012-03-31",0.4674
"2012-04-30",0.4088
"2012-05-31",0.3938
"2012-06-30",0.38
"2012-07-31",0.2194
"2012-08-31",0.1316
"2012-09-30",0.1187
"2012-10-31",0.1112
"2012-11-30",0.1085
"2012-12-31",0.1106
"2013-01-31",0.1125
"2013-02-28",0.1202
"2013-03-31",0.1179
"2013-04-30",0.1179
"2013-05-31",0.1123
"2013-06-30",0.1206
"2013-07-31",0.125
"2013-08-31",0.1278
"2013-09-30",0.1281
"2013-10-31",0.1283
"2013-11-30",0.1321
"2013-12-31",0.2144
"2014-01-31",0.2242
"2014-02-28",0.2239
"2014-03-31",0.2318
"2014-04-30",0.2525
"2014-05-31",0.2592
"2014-06-30",0.1529
"2014-07-31",0.0958
"2014-08-31",0.0855
"2014-09-30",0.0177
"2014-10-31",0.0079
"2014-11-30",0.0097
"2014-12-31",0.0231
"2015-01-31",0.0051
"2015-02-28",0.0004
"2015-03-31",-0.0103
"2015-04-30",-0.029
"2015-05-31",-0.0494
"2015-06-30",-0.0634
"2015-07-31",-0.0713
"2015-08-31",-0.0879
"2015-09-30",-0.1052
"2015-10-31",-0.1156
"2015-11-30",-0.1403
"2015-12-31",-0.1895
"2016-01-31",-0.2226
"2016-02-29",-0.246
"2016-03-31",-0.3076
"2016-04-30",-0.3412
"2016-05-31",-0.348
"2016-06-30",-0.3559
"2016-07-31",-0.3688
"2016-08-31",-0.3697
"2016-09-30",-0.3714
"2016-10-31",-0.3714
"2016-11-30",-0.3728
"2016-12-31",-0.3704
"2017-01-31",-0.3713
"2017-02-28",-0.3718
"2017-03-31",-0.3724
"2017-04-30",-0.3724
"2017-05-31",-0.3732
"2017-06-30",-0.3728
"2017-07-31",-0.3728
"2017-08-31",-0.372
"2017-09-30",-0.3721
"2017-10-31",-0.3723
"2017-11-30",-0.3716
"2017-12-31",-0.3687
"2018-01-31",-0.3688
"2018-02-28",-0.3696
"2018-03-31",-0.3706
"2018-04-30",-0.3716
"2018-05-31",-0.3708
"2018-06-30",-0.3703
"2018-07-31",-0.3697
"2018-08-31",-0.3696
"2018-09-30",-0.371
"2018-10-31",-0.3697
"2018-11-30",-0.3688
"2018-12-31",-0.367
"2019-01-31",-0.3664
"2019-02-28",-0.3677
"2019-03-31",-0.3675
"2019-04-30",-0.3673
"2019-05-31",-0.369
"2019-06-30",-0.3848
"2019-07-31",-0.3951
"2019-08-31",-0.4096
"2019-09-30",-0.4482
"2019-10-31",-0.4555
"2019-11-30",-0.45
"2019-12-31",-0.4529
"2020-01-31",-0.4569
"2020-02-29",-0.4732
"2020-03-31",-0.4777
"2020-04-30",-0.4281
"2020-05-31",-0.4643
"2020-06-30",-0.4929
"2020-07-31",-0.5088
"2020-08-31",-0.5173
"2020-09-30",-0.5217
"2020-10-31",-0.5384
"2020-11-30",-0.5414
"2020-12-31",-0.5607
"2021-01-31",-0.5621
"2021-02-28",-0.5534
"2021-03-31",-0.5534
"2021-04-30",-0.5551
"2021-05-31",-0.5579
"2021-06-30",-0.5546
"2021-07-31",-0.5562
"2021-08-31",-0.5601
"2021-09-30",-0.5576
"2021-10-31",-0.5604
"2021-11-30",-0.5654
"2021-12-31",-0.5963
"2022-01-31",-0.5649
"2022-02-28",-0.5531
"2022-03-31",-0.5444
"2022-04-30",-0.5373
"2022-05-31",-0.5457
"2022-06-30",-0.5247
"2022-07-31",-0.3064
"2022-08-31",0.0224
"2022-09-30",0.5739
"2022-10-31",0.9152
"2022-11-30",1.4231
"2022-12-31",1.7243
"2023-01-31",1.9812
"2023-02-28",2.3688
"2023-03-31",2.7099
"2023-04-30",2.9536
"2023-05-31",3.1474
