#Board of Governors of the Federal Reserve System (US),
# Federal Funds Effective Rate [FEDFUNDS], retrieved from FRED,
# Federal Reserve Bank of St. Louis; https://fred.stlouisfed.org/series/FEDFUNDS, August 22, 2023. 
#DATE,MORTGAGE15US
30-08-1991,8.77
06-09-1991,8.79
13-09-1991,8.68
20-09-1991,8.62
27-09-1991,8.59
04-10-1991,8.51
11-10-1991,8.46
18-10-1991,8.45
25-10-1991,8.51
01-11-1991,8.41
08-11-1991,8.36
15-11-1991,8.32
22-11-1991,8.25
29-11-1991,8.29
06-12-1991,8.21
13-12-1991,8.1
20-12-1991,8.07
27-12-1991,7.9
03-01-1992,7.79
10-01-1992,7.79
17-01-1992,8.03
24-01-1992,8.14
31-01-1992,8.28
07-02-1992,8.3
14-02-1992,8.36
21-02-1992,8.43
28-02-1992,8.44
06-03-1992,8.48
13-03-1992,8.51
20-03-1992,8.69
27-03-1992,8.63
03-04-1992,8.57
10-04-1992,8.44
17-04-1992,8.38
24-04-1992,8.49
01-05-1992,8.46
08-05-1992,8.38
15-05-1992,8.26
22-05-1992,8.16
29-05-1992,8.21
05-06-1992,8.18
12-06-1992,8.12
19-06-1992,8.03
26-06-1992,7.98
03-07-1992,7.84
10-07-1992,7.67
17-07-1992,7.63
24-07-1992,7.61
31-07-1992,7.6
07-08-1992,7.59
14-08-1992,7.48
21-08-1992,7.38
28-08-1992,7.51
04-09-1992,7.44
11-09-1992,7.33
18-09-1992,7.37
24-09-1992,7.48
02-10-1992,7.37
09-10-1992,7.46
16-10-1992,7.51
23-10-1992,7.71
30-10-1992,7.68
06-11-1992,7.75
13-11-1992,7.79
20-11-1992,7.83
27-11-1992,7.81
04-12-1992,7.87
11-12-1992,7.77
18-12-1992,7.74
25-12-1992,7.65
31-12-1992,7.68
08-01-1993,7.6
15-01-1993,7.56
22-01-1993,7.51
29-01-1993,7.37
05-02-1993,7.29
12-02-1993,7.25
19-02-1993,7.12
26-02-1993,7.02
05-03-1993,6.91
12-03-1993,6.97
19-03-1993,7.07
26-03-1993,7.01
02-04-1993,7.03
09-04-1993,7.07
16-04-1993,6.93
23-04-1993,6.86
30-04-1993,6.91
07-05-1993,6.88
14-05-1993,6.86
21-05-1993,6.98
28-05-1993,6.99
04-06-1993,6.97
11-06-1993,6.98
18-06-1993,6.87
25-06-1993,6.84
02-07-1993,6.76
09-07-1993,6.71
16-07-1993,6.67
23-07-1993,6.7
30-07-1993,6.75
06-08-1993,6.72
13-08-1993,6.68
20-08-1993,6.62
27-08-1993,6.49
03-09-1993,6.45
10-09-1993,6.35
17-09-1993,6.49
24-09-1993,6.47
01-10-1993,6.41
08-10-1993,6.39
15-10-1993,6.36
22-10-1993,6.31
29-10-1993,6.4
05-11-1993,6.65
12-11-1993,6.64
19-11-1993,6.62
26-11-1993,6.84
04-12-1993,6.74
10-12-1993,6.65
17-12-1993,6.7
24-12-1993,6.69
31-12-1993,6.63
07-01-1994,6.74
14-01-1994,6.48
21-01-1994,6.57
28-01-1994,6.47
04-02-1994,6.46
11-02-1994,6.72
18-02-1994,6.64
25-02-1994,6.8
04-03-1994,7.01
11-03-1994,7.15
18-03-1994,7.27
25-03-1994,7.3
01-04-1994,7.55
08-04-1994,7.91
15-04-1994,7.72
22-04-1994,7.97
29-04-1994,7.85
06-05-1994,8.03
13-05-1994,8.25
20-05-1994,8.04
27-05-1994,7.99
03-06-1994,8.02
10-06-1994,7.79
17-06-1994,7.83
24-06-1994,8.0
01-07-1994,8.07
08-07-1994,8.15
15-07-1994,8.2
22-07-1994,8.05
29-07-1994,8.09
05-08-1994,7.9
12-08-1994,8.08
19-08-1994,8.05
26-08-1994,8.05
02-09-1994,7.96
09-09-1994,8.03
16-09-1994,8.15
23-09-1994,8.21
30-09-1994,8.31
07-10-1994,8.38
14-10-1994,8.4
21-10-1994,8.3
28-10-1994,8.47
04-11-1994,8.51
11-11-1994,8.67
18-11-1994,8.71
25-11-1994,8.77
02-12-1994,8.76
09-12-1994,8.77
16-12-1994,8.89
23-12-1994,8.79
30-12-1994,8.81
06-01-1995,8.87
13-01-1995,8.85
20-01-1995,8.7
27-01-1995,8.76
03-02-1995,8.59
10-02-1995,8.45
17-02-1995,8.46
24-02-1995,8.34
03-03-1995,8.15
10-03-1995,8.24
17-03-1995,8.0
24-03-1995,7.97
31-03-1995,7.96
07-04-1995,7.99
14-04-1995,7.93
21-04-1995,7.8
28-04-1995,7.8
05-05-1995,7.8
12-05-1995,7.45
19-05-1995,7.39
26-05-1995,7.4
02-06-1995,7.24
09-06-1995,7.0
16-06-1995,7.03
23-06-1995,7.01
30-06-1995,7.03
07-07-1995,7.11
14-07-1995,6.89
21-07-1995,7.08
28-07-1995,7.27
04-08-1995,7.31
11-08-1995,7.31
18-08-1995,7.43
25-08-1995,7.39
01-09-1995,7.27
08-09-1995,7.16
15-09-1995,7.12
22-09-1995,7.09
29-09-1995,7.16
06-10-1995,7.09
13-10-1995,7.01
20-10-1995,6.92
27-10-1995,7.01
03-11-1995,6.97
09-11-1995,6.87
17-11-1995,6.86
24-11-1995,6.85
01-12-1995,6.85
08-12-1995,6.74
15-12-1995,6.71
22-12-1995,6.73
29-12-1995,6.65
05-01-1996,6.56
12-01-1996,6.59
19-01-1996,6.53
26-01-1996,6.5
02-02-1996,6.52
09-02-1996,6.51
16-02-1996,6.44
23-02-1996,6.77
01-03-1996,6.87
08-03-1996,6.87
15-03-1996,7.32
22-03-1996,7.32
29-03-1996,7.19
05-04-1996,7.29
12-04-1996,7.56
19-04-1996,7.48
26-04-1996,7.43
03-05-1996,7.5
10-05-1996,7.75
17-05-1996,7.59
24-05-1996,7.51
31-05-1996,7.54
07-06-1996,7.8
14-06-1996,7.9
21-06-1996,7.81
28-06-1996,7.82
05-07-1996,7.67
12-07-1996,7.93
19-07-1996,7.76
26-07-1996,7.71
02-08-1996,7.75
09-08-1996,7.4
16-08-1996,7.39
23-08-1996,7.45
30-08-1996,7.6
06-09-1996,7.88
13-09-1996,7.81
20-09-1996,7.64
27-09-1996,7.68
04-10-1996,7.58
11-10-1996,7.38
18-10-1996,7.39
25-10-1996,7.37
01-11-1996,7.3
08-11-1996,7.2
15-11-1996,7.11
22-11-1996,7.06
29-11-1996,7.04
06-12-1996,6.96
13-12-1996,7.06
20-12-1996,7.21
27-12-1996,7.16
03-01-1997,7.18
10-01-1997,7.35
17-01-1997,7.38
24-01-1997,7.35
31-01-1997,7.38
07-02-1997,7.25
14-02-1997,7.14
21-02-1997,7.06
28-02-1997,7.15
07-03-1997,7.35
14-03-1997,7.34
21-03-1997,7.45
28-03-1997,7.48
04-04-1997,7.7
11-04-1997,7.67
18-04-1997,7.71
25-04-1997,7.62
02-05-1997,7.53
09-05-1997,7.47
16-05-1997,7.44
23-05-1997,7.45
30-05-1997,7.47
06-06-1997,7.4
13-06-1997,7.27
20-06-1997,7.14
27-06-1997,7.13
04-07-1997,7.15
11-07-1997,7.01
18-07-1997,7.01
25-07-1997,6.98
01-08-1997,6.9
08-08-1997,7.0
15-08-1997,7.07
22-08-1997,6.99
29-08-1997,7.12
05-09-1997,7.08
12-09-1997,7.07
19-09-1997,6.94
26-09-1997,6.86
03-10-1997,6.87
10-10-1997,6.82
17-10-1997,6.89
24-10-1997,6.9
31-10-1997,6.76
07-11-1997,6.8
14-11-1997,6.78
21-11-1997,6.73
28-11-1997,6.73
05-12-1997,6.71
12-12-1997,6.72
19-12-1997,6.65
26-12-1997,6.57
02-01-1998,6.61
09-01-1998,6.55
16-01-1998,6.46
