# source https://www.bankofengland.co.uk , published  under (c) OGL3.0
# "Date","Monthly average of UK resident banks' sterling standard variable rate mortgage to Individuals and individual trusts (in percent) not seasonally adjusted              [a]             CFMZ6IX"
"30 Jun 23","7.23"
"31 May 23","7.08"
"30 Apr 23","6.87"
"31 Mar 23","6.86"
"28 Feb 23","6.38"
"31 Jan 23","6.02"
"31 Dec 22","5.74"
"30 Nov 22","5.21"
"31 Oct 22","4.75"
"30 Sep 22","4.69"
"31 Aug 22","4.36"
"31 Jul 22","4.14"
"30 Jun 22","4.08"
"31 May 22","3.86"
"30 Apr 22","3.69"
"31 Mar 22","3.63"
"28 Feb 22","3.43"
"31 Jan 22","3.32"
"31 Dec 21","3.24"
"30 Nov 21","3.26"
"31 Oct 21","3.26"
"30 Sep 21","3.26"
"31 Aug 21","3.26"
"31 Jul 21","3.24"
"30 Jun 21","3.25"
"31 May 21","3.22"
"30 Apr 21","3.22"
"31 Mar 21","3.24"
"28 Feb 21","3.24"
"31 Jan 21","3.26"
"31 Dec 20","3.27"
"30 Nov 20","3.23"
"31 Oct 20","3.21"
"30 Sep 20","3.24"
"31 Aug 20","3.21"
"31 Jul 20","3.21"
"30 Jun 20","3.22"
"31 May 20","3.19"
"30 Apr 20","3.32"
"31 Mar 20","3.77"
"29 Feb 20","3.86"
"31 Jan 20","3.88"
"31 Dec 19","3.83"
"30 Nov 19","3.82"
"31 Oct 19","3.8"
"30 Sep 19","3.8"
"31 Aug 19","3.82"
"31 Jul 19","3.8"
"30 Jun 19","3.81"
"31 May 19","3.8"
"30 Apr 19","3.82"
"31 Mar 19","3.8"
"28 Feb 19","3.82"
"31 Jan 19","3.87"
"31 Dec 18","3.82"
"30 Nov 18","3.84"
"31 Oct 18","3.82"
"30 Sep 18","3.83"
"31 Aug 18","3.54"
"31 Jul 18","3.58"
"30 Jun 18","3.59"
"31 May 18","3.57"
"30 Apr 18","3.57"
"31 Mar 18","3.58"
"28 Feb 18","3.57"
"31 Jan 18","3.58"
"31 Dec 17","3.58"
"30 Nov 17","3.36"
"31 Oct 17","3.34"
"30 Sep 17","3.35"
"31 Aug 17","3.33"
"31 Jul 17","3.33"
"30 Jun 17","3.34"
"31 May 17","3.33"
"30 Apr 17","3.34"
"31 Mar 17","3.33"
"28 Feb 17","3.34"
"31 Jan 17","3.33"
"31 Dec 16","3.34"
"30 Nov 16","3.34"
"31 Oct 16","3.35"
"30 Sep 16","3.41"
"31 Aug 16","3.58"
"31 Jul 16","3.59"
"30 Jun 16","3.58"
"31 May 16","3.58"
"30 Apr 16","3.58"
"31 Mar 16","3.59"
"29 Feb 16","3.59"
"31 Jan 16","3.58"
